ilinet_release_dates,ilinet_data_thru,ilinet_data_thru_ew,forecasts_due,forecasts_due_ew,forecasts_1_wk_ahead
3/13/2020,3/7/2020,2020-EW10,3/16/2020,2020-EW12,2020-EW11
3/20/2020,3/14/2020,2020-EW11,3/23/2020,2020-EW13,2020-EW12
3/27/2020,3/21/2020,2020-EW12,3/30/2020,2020-EW14,2020-EW13
4/3/2020,3/28/2020,2020-EW13,4/6/2020,2020-EW15,2020-EW14
4/10/2020,4/4/2020,2020-EW14,4/13/2020,2020-EW16,2020-EW15
4/17/2020,4/11/2020,2020-EW15,4/20/2020,2020-EW17,2020-EW16
4/24/2020,4/18/2020,2020-EW16,4/27/2020,2020-EW18,2020-EW17
5/1/2020,4/25/2020,2020-EW17,5/4/2020,2020-EW19,2020-EW18
5/8/2020,5/2/2020,2020-EW18,5/11/2020,2020-EW20,2020-EW19
5/15/2020,5/9/2020,2020-EW19,5/18/2020,2020-EW21,2020-EW20
5/22/2020,5/16/2020,2020-EW20,5/26/2020,2020-EW22,2020-EW21
5/29/2020,5/23/2020,2020-EW21,6/1/2020,2020-EW23,2020-EW22
6/5/2020,5/30/2020,2020-EW22,6/8/2020,2020-EW24,2020-EW23
6/12/2020,6/6/2020,2020-EW23,6/15/2020,2020-EW25,2020-EW24
6/19/2020,6/13/2020,2020-EW24,6/22/2020,2020-EW26,2020-EW25
6/26/2020,6/20/2020,2020-EW25,6/29/2020,2020-EW27,2020-EW26
7/3/2020,6/27/2020,2020-EW26,7/6/2020,2020-EW28,2020-EW27
7/10/2020,7/4/2020,2020-EW27,7/13/2020,2020-EW29,2020-EW28
7/17/2020,7/11/2020,2020-EW28,7/20/2020,2020-EW30,2020-EW29
7/24/2020,7/18/2020,2020-EW29,7/27/2020,2020-EW31,2020-EW30
7/31/2020,7/25/2020,2020-EW30,8/3/2020,2020-EW32,2020-EW31
8/7/2020,8/1/2020,2020-EW31,8/10/2020,2020-EW33,2020-EW32
8/14/2020,8/8/2020,2020-EW32,8/17/2020,2020-EW34,2020-EW33
8/21/2020,8/15/2020,2020-EW33,8/24/2020,2020-EW35,2020-EW34
8/28/2020,8/22/2020,2020-EW34,8/31/2020,2020-EW36,2020-EW35
